side,context,entry_time,exit_time,entry_price,exit_price,exit_reason,profit_target_pct,stop_pct,pnl_pct,bars_held
short,lower,2024-10-23 00:27:59.999000-03:00,2024-10-23 13:20:59.999000-03:00,2605.109409040618,2526.9561267693994,target_hit,3.0,2.0,3.00000000000001,773
short,lower,2024-10-23 13:21:59.999000-03:00,2024-10-23 15:04:59.999000-03:00,2523.683640057229,2447.973130855512,target_hit,3.0,2.0,2.9999999999999987,103
short,upper,2024-10-24 05:44:59.999000-03:00,2024-10-25 11:31:59.999000-03:00,2533.3851575989465,2562.865315197893,opposite_signal,3.0,2.0,-1.163666626470907,1788
long,upper,2024-10-25 11:31:59.999000-03:00,2024-10-25 12:54:59.999000-03:00,2562.865315197893,2511.6080088939348,stop_hit,3.0,2.0,-2.0000000000000093,83
short,upper,2024-10-26 00:00:59.999000-03:00,2024-10-26 17:14:59.999000-03:00,2442.087878648819,2490.929636221795,stop_hit,3.0,2.0,-1.9999999999999991,1034
short,lower,2024-10-25 20:05:59.999000-03:00,2024-10-26 17:17:59.999000-03:00,2444.9446848021066,2493.843578498149,stop_hit,3.0,2.0,-2.000000000000005,1272
long,upper,2024-10-28 06:54:59.999000-03:00,2024-10-28 23:12:59.999000-03:00,2534.2542892824767,2610.281917960951,target_hit,3.0,2.0,2.9999999999999973,978
long,upper,2024-10-28 23:22:59.999000-03:00,2024-10-30 10:57:59.999000-03:00,2622.128415199449,2700.7922676554326,target_hit,3.0,2.0,3.0000000000000004,2135
long,upper,2024-10-30 03:12:59.999000-03:00,2024-10-31 05:26:59.999000-03:00,2684.358153368616,2630.670990301244,stop_hit,3.0,2.0,-1.999999999999997,1574
long,lower,2024-10-30 17:31:59.999000-03:00,2024-10-31 10:48:59.999000-03:00,2663.5875772624368,2610.315825717188,stop_hit,3.0,2.0,-1.9999999999999973,1037
short,lower,2024-10-31 11:41:59.999000-03:00,2024-10-31 23:09:59.999000-03:00,2552.5974503835077,2476.0195268720026,target_hit,3.0,2.0,2.999999999999995,688
short,lower,2024-10-31 23:09:59.999000-03:00,2024-11-01 09:32:59.999000-03:00,2477.4218264756187,2526.970263005131,stop_hit,3.0,2.0,-2.000000000000001,623
short,upper,2024-11-01 11:42:59.999000-03:00,2024-11-01 12:51:59.999000-03:00,2564.6365867621907,2487.697489159325,target_hit,3.0,2.0,3.000000000000002,69
short,lower,2024-11-02 10:35:59.999000-03:00,2024-11-04 18:24:59.999000-03:00,2477.4218264756187,2403.09917168135,target_hit,3.0,2.0,3.0000000000000018,3349
short,lower,2024-11-04 18:24:59.999000-03:00,2024-11-05 11:23:59.999000-03:00,2404.6334970198313,2452.726166960228,stop_hit,3.0,2.0,-2.000000000000004,1019
long,upper,2024-11-05 22:01:59.999000-03:00,2024-11-05 23:56:59.999000-03:00,2498.82507852427,2573.789830879998,target_hit,3.0,2.0,3.000000000000006,115
long,upper,2024-11-06 00:06:59.999000-03:00,2024-11-06 02:02:59.999000-03:00,2615.538988006326,2563.2282082461993,stop_hit,3.0,2.0,-1.9999999999999987,116
long,upper,2024-11-06 03:23:59.999000-03:00,2024-11-06 17:10:59.999000-03:00,2615.538988006326,2694.0051576465157,target_hit,3.0,2.0,3.0000000000000067,827
long,upper,2024-11-06 16:54:59.999000-03:00,2024-11-06 22:09:59.999000-03:00,2681.545181845578,2761.9915373009453,target_hit,3.0,2.0,2.999999999999995,315
long,upper,2024-11-06 22:08:59.999000-03:00,2024-11-06 22:36:59.999000-03:00,2754.6594751409407,2837.299259395169,target_hit,3.0,2.0,3.000000000000002,28
long,lower,2024-11-07 11:50:59.999000-03:00,2024-11-07 15:33:59.999000-03:00,2791.355237990687,2875.0958951304074,target_hit,3.0,2.0,2.999999999999996,223
long,upper,2024-11-07 15:33:59.999000-03:00,2024-11-08 15:51:59.999000-03:00,2884.8045240186266,2971.3486597391857,target_hit,3.0,2.0,3.00000000000001,1458
long,upper,2024-11-08 15:51:59.999000-03:00,2024-11-09 16:01:59.999000-03:00,2971.9288279728457,3061.0866928120313,target_hit,3.0,2.0,3.000000000000006,1450
long,upper,2024-11-09 16:01:59.999000-03:00,2024-11-09 20:30:59.999000-03:00,3063.09808921961,3154.9910318961984,target_hit,3.0,2.0,3.000000000000007,269
long,upper,2024-11-09 20:30:59.999000-03:00,2024-11-10 15:37:59.999000-03:00,3157.089544077077,3251.8022303993894,target_hit,3.0,2.0,3.0000000000000058,1147
