side,context,entry_time,exit_time,entry_price,exit_price,exit_reason,profit_target_pct,stop_pct,pnl_pct,bars_held
short,upper,2025-10-11 12:37:59.999000-03:00,2025-10-11 17:28:59.999000-03:00,3818.1734105605465,3710.9793294976953,target_hit,2.8074702098748854,1.8248556364186757,2.807470209874884,291
long,lower,2025-10-11 17:46:59.999000-03:00,2025-10-11 18:06:59.999000-03:00,3713.9065894394535,3647.983915152891,stop_hit,2.7308037092476005,1.7750224110109407,-1.7750224110109465,20
short,lower,2025-10-11 17:56:59.999000-03:00,2025-10-11 18:24:59.999000-03:00,3661.7731788789065,3726.770473444395,stop_hit,2.7308037092476005,1.7750224110109407,-1.7750224110109472,28
long,lower,2025-10-11 18:23:59.999000-03:00,2025-10-12 00:37:59.999000-03:00,3713.9065894394535,3815.3260883418575,target_hit,2.7308037092476005,1.7750224110109407,2.7308037092476107,374
short,upper,2025-10-12 07:18:59.999000-03:00,2025-10-12 11:46:59.999000-03:00,3818.1734105605465,3887.8495632514,stop_hit,2.8074702098748854,1.8248556364186757,-1.8248556364186814,268
long,upper,2025-10-12 11:46:59.999000-03:00,2025-10-12 11:51:59.999000-03:00,3870.3068211210934,3978.9645321548237,target_hit,2.8074702098748854,1.8248556364186757,2.8074702098748827,5
short,upper,2025-10-12 13:51:59.999000-03:00,2025-10-12 17:50:59.999000-03:00,4086.316132511294,4174.586223840922,stop_hit,3.323290124977707,2.16013858123551,-2.1601385812355183,239
short,upper,2025-10-12 18:33:59.999000-03:00,2025-10-12 21:18:59.999000-03:00,4086.316132511294,4174.586223840922,stop_hit,3.323290124977707,2.16013858123551,-2.1601385812355183,165
long,upper,2025-10-12 13:45:59.999000-03:00,2025-10-13 08:29:59.999000-03:00,4152.032265022588,4062.3426141604887,stop_hit,3.323290124977707,2.16013858123551,-2.160138581235506,1124
short,lower,2025-10-13 08:29:59.999000-03:00,2025-10-13 10:30:59.999000-03:00,4048.741316563484,4134.818455046815,stop_hit,3.2708033569759922,2.126022182034395,-2.1260221820343945,121
long,lower,2025-10-13 09:32:59.999000-03:00,2025-10-13 16:16:59.999000-03:00,4118.370658281742,4253.074464025535,target_hit,3.2708033569759922,2.126022182034395,3.270803356975981,404
short,upper,2025-10-13 18:41:59.999000-03:00,2025-10-14 01:47:59.999000-03:00,4257.629341718258,4113.661761846334,target_hit,3.3814023795181383,2.1979115466867905,3.381402379518138,426
short,lower,2025-10-14 03:22:59.999000-03:00,2025-10-14 07:29:59.999000-03:00,4048.741316563484,3916.3149496660512,target_hit,3.2708033569759922,2.126022182034395,3.270803356975999,247
long,lower,2025-10-14 07:39:59.999000-03:00,2025-10-14 12:53:59.999000-03:00,3931.865679636613,4071.4747198651035,target_hit,3.550707262242816,2.30795972045783,3.5507072622428235,314
long,upper,2025-10-14 13:21:59.999000-03:00,2025-10-14 14:01:59.999000-03:00,4148.988640726773,4049.706433552165,stop_hit,3.681423846100236,2.3929254999651537,-2.3929254999651444,40
short,upper,2025-10-14 13:58:59.999000-03:00,2025-10-15 05:26:59.999000-03:00,4076.6143203633865,4174.164663970593,stop_hit,3.681423846100236,2.3929254999651537,-2.392925499965157,928
long,upper,2025-10-15 05:26:59.999000-03:00,2025-10-15 10:47:59.999000-03:00,4148.988640726773,4049.706433552165,stop_hit,3.681423846100236,2.3929254999651537,-2.3929254999651444,321
short,lower,2025-10-15 10:47:59.999000-03:00,2025-10-16 12:56:59.999000-03:00,4042.8148713412356,3900.3325012287814,target_hit,3.5243357573082363,2.2908182422503534,3.5243357573082377,1569
short,lower,2025-10-16 13:30:59.999000-03:00,2025-10-16 13:59:59.999000-03:00,3859.272228875551,3952.3393413368262,stop_hit,3.710030402780467,2.4115197618073037,-2.411519761807312,29
long,lower,2025-10-16 13:55:59.999000-03:00,2025-10-16 17:32:59.999000-03:00,3935.081114437776,3840.1858557199616,stop_hit,3.710030402780467,2.4115197618073037,-2.4115197618073068,217
long,lower,2025-10-16 22:06:59.999000-03:00,2025-10-17 03:36:59.999000-03:00,3935.081114437776,3840.1858557199616,stop_hit,3.710030402780467,2.4115197618073037,-2.4115197618073068,330
short,lower,2025-10-16 16:21:59.999000-03:00,2025-10-17 05:16:59.999000-03:00,3859.272228875551,3716.0920558582047,target_hit,3.710030402780467,2.4115197618073037,3.710030402780461,775
long,lower,2025-10-17 07:54:59.999000-03:00,2025-10-17 18:05:59.999000-03:00,3718.607407214736,3866.2760660848007,target_hit,3.9710741871691573,2.5811982216599523,3.9710741871691533,611
